pool address, buy token address, buy token symbol, buy token amount, sell token address, sell token symbol, sell token amount, sender, receiver, dex, pool id, transaction hash, block number
0x5cd556e3572196b39ba86fb1cc5f584f0e8f40d3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6.60548081058247E+017,0x9b2a002d2740f0934afbd04007a277b46bd032d1,DVD,115240000,0xc397ec9a2ba9e5bda8e64337673b973320a21fe8,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,UniSwapV2,22838,0xe0c345b3177cf640ce92dedc9e20872a586dc02418db5954f5c1e549947b73f3,11965023
0xc4d9102e36c5063b98010a03c1f7c8bd44c32a00,0xdacd69347de42babfaecd09dc88958378780fb62,ATRI,2730,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3E+017,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf9afef25c4a36db589f891712066ab7ca8fdd775,UniSwapV2,20161,0xe44e6703bf6b1c2a626d7ef6f02b5cf6668d5e553799a4e57511d03e49a75565,11965023
0x0de0fa91b6dbab8c8503aaa2d1dfa91a192cb149,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,253175821,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,486089,0x661c650c8bfcde6d842f465b3d69ed008638d614,0xde7ad7f64b8d7d369145fa0e9dc76edcfcd89d68,UniSwapV2,1605,0xf10df6dc565646654f8c94187bb469e1b1ad1b5035e7c6609fcb9601e43a6847,11965023
0x1b00c95e101fecdbcbe76f38e601f430c6023f3b,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,560746,0x75eb894795ca5c27a73718b29fe2d9e27a74161e,RMBT,1.59570973390904E+021,0xde7ad7f64b8d7d369145fa0e9dc76edcfcd89d68,0x661c650c8bfcde6d842f465b3d69ed008638d614,UniSwapV2,25108,0xf10df6dc565646654f8c94187bb469e1b1ad1b5035e7c6609fcb9601e43a6847,11965023
0x40829a59080a12f16bb8fba22354a6a42c810aab,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,9.39025412758855E+016,0xceb286c9604c542d3cc08b41aa6c9675b078a832,VTX,7E+020,0x0a36c91ed94fc1c331040749744dcffe3012c351,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,UniSwapV2,30425,0xf6773e2e92f30e52258ccb151cd0789f20a90a0730c062435de8fe198f69ca7e,11965023
0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,1966874610532,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,3168992609030528,0xbd165f01db491109c1ccbdff3b638174ea794e1f,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,UniSwapV2,3,0x068d3e14d147e3dfa9e7d01f3649ce2e821340fa3f160326aad0a490e356126d,11965024
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,10848647074,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6.77174629276181E+018,0x27fd0857f0ef224097001e87e61026e39e1b04d1,0xd2a77edc134e18b82a966c834dbb5fa8db3ea649,UniSwapV2,144,0x0741c96354c98f03cb44ece6b57f0ede08bbeb3a37695a2f495883a53ae98f8d,11965024
0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,780333544,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,4.87167232664106E+017,0x481efdd010433ded1a931b557e4fe63b7b897964,0x41ebe0c0bb4333e5cf92a9b0d3536eea4ade5c8d,UniSwapV2,0,0x4be408f5bf427f5bdc48a181fe2621935fb93b332d79349b367fcd420d4f8b48,11965024
0x092e793afe54366601eb7ef7e63b6abb93edb485,0x0cdf9acd87e940837ff21bb40c9fd55f68bba059,MINT,1.01903846225215E+021,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,5.82970944053057E+017,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xe098df3c0638bdef55e631243799ac0656f9e5a6,UniSwapV2,30352,0x4f42db23ed25a086591309fa1dd64b0e9cff77c00ecfdb4aec0c9629c49ab09b,11965024
0x3aeee5ba053ef8406420dbc5801fc95ec57b0e0a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,1.98471209660141E+018,0x30f271c9e86d2b7d00a6376cd96a1cfbd5f0b9b3,DEC,1.00009564806015E+022,0x7e860a47e49cfceabe16ee338c43b1e857e56fe3,0x146d3401b6a41122bd318ba676a01c44cb0795e2,UniSwapV2,2429,0x6a1c75e35c4b7975718294986b950cd87b5bb6de2dd60eea28c1e3044e358ae3,11965024
